UTC time,Batt,DewPt,Gust Speed,Pressure,RH,Rain,Solar Rad,Solar Rad1,Temp,Wind Dir,Wind Speed
2014-06-01 00:00:00,4.53,19.17,5.5,1013.9,51.1,0.0,1277.0,1277.0,30.39,67.0,2.7
2014-06-01 00:05:00,4.53,19.62,4.7,1014.0,51.2,0.0,1277.0,1277.0,30.85,52.0,2.4
2014-06-01 00:10:00,4.53,19.54,5.7,1013.8,50.8,0.0,1277.0,1277.0,30.9,66.0,2.7
2014-06-01 00:15:00,4.53,18.72,4.9,1013.9,50.9,0.0,1033.0,986.0,29.97,55.0,2.7
2014-06-01 00:20:00,4.53,19.61,5.9,1013.8,51.4,0.0,1277.0,1277.0,30.77,59.0,2.2
2014-06-01 00:25:00,4.53,19.25,6.5,1013.8,51.7,0.0,1277.0,1277.0,30.27,62.0,2.7
2014-06-01 00:30:00,4.53,18.97,6.1,1013.8,51.5,0.0,1277.0,1277.0,30.04,51.0,3.3
2014-06-01 00:35:00,4.53,19.06,5.7,1013.8,51.2,0.0,1277.0,518.0,30.24,55.0,2.4
2014-06-01 00:40:00,4.53,19.2,6.1,1013.8,52.3,0.0,1277.0,1277.0,30.02,51.0,2.9
2014-06-01 00:45:00,4.53,18.99,5.5,1013.7,52.2,0.0,1277.0,1277.0,29.82,56.0,2.4
2014-06-01 00:50:00,4.53,19.2,6.1,1013.6,52.1,0.0,1277.0,1277.0,30.09,53.0,2.4
2014-06-01 00:55:00,4.53,19.02,6.3,1013.5,52.1,0.0,1277.0,1277.0,29.89,63.0,2.7
2014-06-01 01:00:00,4.53,19.18,5.1,1013.6,51.2,0.0,1277.0,1244.0,30.37,53.0,2.4
2014-06-01 01:05:00,4.53,19.05,5.3,1013.5,52.1,0.0,1277.0,1229.0,29.92,55.0,2.4
2014-06-01 01:10:00,4.53,19.0,6.5,1013.5,51.6,0.0,1251.0,1198.0,30.04,49.0,2.2
2014-06-01 01:15:00,4.53,18.97,8.6,1013.4,52.0,0.0,1228.0,1173.0,29.87,52.0,2.4
2014-06-01 01:20:00,4.53,19.12,5.3,1013.4,52.8,0.0,1208.0,1154.0,29.77,56.0,2.7
2014-06-01 01:25:00,4.53,19.32,5.7,1013.3,53.4,0.0,1167.0,1116.0,29.79,51.0,2.9
2014-06-01 01:30:00,4.53,19.13,4.7,1013.3,53.6,0.0,1158.0,1111.0,29.51,52.0,2.4
2014-06-01 01:35:00,4.53,19.07,6.1,1013.4,52.4,0.0,1136.0,1084.0,29.84,62.0,2.2
2014-06-01 01:40:00,4.53,18.52,5.7,1013.5,51.6,0.0,1104.0,1056.0,29.51,76.0,3.1
2014-06-01 01:45:00,4.51,18.93,5.7,1013.3,53.0,0.0,1067.0,1021.0,29.49,72.0,2.4
2014-06-01 01:50:00,4.5,18.76,6.1,1013.3,51.7,0.0,1041.0,993.0,29.74,66.0,2.4
2014-06-01 01:55:00,4.5,19.22,6.3,1013.2,53.3,0.0,1036.0,989.0,29.71,62.0,2.9
2014-06-01 02:00:00,4.48,19.11,5.1,1013.2,53.6,0.0,989.0,946.0,29.49,55.0,2.4
2014-06-01 02:05:00,4.48,19.09,4.9,1013.3,52.4,0.0,1003.0,958.0,29.87,79.0,2.0
